FileName,DomainID,ConversationID,UtteranceID,SpeakerID,PlainText
3_0001_0001_A,3,1,1,A,小天
3_0001_0002_B,3,1,2,B,我在。
3_0001_0003_A,3,1,3,A,感觉家里有股刺鼻的气味。
3_0001_0004_B,3,1,4,B,正在为您检测空气质量，结果显示家里甲醛浓度偏高。
3_0001_0005_A,3,1,5,A,那快把空气净化器打开吧。
3_0001_0006_B,3,1,6,B,好的，已为您打开空气净化器。
3_0001_0007_A,3,1,7,A,让她一直开着吧。
3_0001_0008_B,3,1,8,B,好的，已为您取消定时。
3_0002_0001_A,3,2,1,A,小天。
3_0002_0002_B,3,2,2,B,我在。
3_0002_0003_A,3,2,3,A,今天是不是空气有点干啊?
3_0002_0004_B,3,2,4,B,现在室内空气湿度为干燥。
3_0002_0005_A,3,2,5,A,那帮我把加湿器开一下吧，设为有雾加湿。
3_0002_0006_B,3,2,6,B,好的，已为您将加湿器设为有雾加湿。
3_0002_0007_A,3,2,7,A,先开个三小时吧。
3_0002_0008_B,3,2,8,B,好的，已为您设置为三小时后关闭。
3_0002_0009_A,3,2,9,A,再帮我烧一下水吧。
3_0002_0010_B,3,2,10,B,好的，已为您打开净水器，模式为加热模式，水将在五分钟后烧好。
3_0002_0011_A,3,2,11,A,冰箱里还有蜂蜜吗。
3_0002_0012_B,3,2,12,B,有的，大约还剩三分之一，建议及时购置。
3_0002_0013_A,3,2,13,A,梨呢，还有梨吗？
3_0002_0014_B,3,2,14,B,有的，还有两个梨。
3_0002_0015_A,3,2,15,A,行，那我待会儿炖个梨汤，润润嗓子。
3_0002_0016_B,3,2,16,B,药箱里有润喉片，您保重好身体。
3_0003_0001_A,3,3,1,A,小天。
3_0003_0002_B,3,3,2,B,我在。
3_0003_0003_A,3,3,3,A,今天天气怎么样呢？
3_0003_0004_B,3,3,4,B,今天晴，温度为十九到二十五度，东南风三级。
3_0003_0005_A,3,3,5,A,好，把热水器打开吧。
3_0003_0006_B,3,3,6,B,好的，已为您将热水器开启。
3_0003_0007_A,3,3,7,A,再把卧室的灯打开一下吧。
3_0003_0008_B,3,3,8,B,好的。已为您将卧室照明系统打开。
3_0003_0009_A,3,3,9,A,设置为温馨模式。
3_0003_0010_B,3,3,10,B,好的，已为您设置为温馨模式。
3_0003_0011_A,3,3,11,A,再把卧室电视设置为正常模式吧，调到中央十三台。
3_0003_0012_B,3,3,12,B,好的，已为您设置为正常模式，现在频道为中央十三台。
3_0004_0001_A,3,4,1,A,小天。
3_0004_0002_B,3,4,2,B,我在。
3_0004_0003_A,3,4,3,A,洗衣机里的衣服还没洗吧。
3_0004_0004_B,3,4,4,B,是的。
3_0004_0005_A,3,4,5,A,这次的衣服有点脏，杀个菌再多泡一会儿吧。
3_0004_0006_B,3,4,6,B,好的，已为您开启洗衣机，模式为杀菌和浸泡。
3_0004_0007_A,3,4,7,A,泡十二个小时之后再正常清洗一下。
3_0004_0008_B,3,4,8,B,好的，浸泡模式将在十二小时后关闭转为正常洗涤。
3_0004_0009_A,3,4,9,A,洗完之后记得脱水。
3_0004_0010_B,3,4,10,B,好的，已设好脱水模式。
3_0005_0001_A,3,5,1,A,小天。
3_0005_0002_B,3,5,2,B,我在。
3_0005_0003_A,3,5,3,A,帮我把客厅灯调暗一点，我准备看部电影。
3_0005_0004_B,3,5,4,B,好的，已为您将照明调至家庭影院模式。
3_0005_0005_A,3,5,5,A,最近有什么高分电影吗？
3_0005_0006_B,3,5,6,B,已为您打开豆瓣排行，您可以在手机上查看哦。
3_0005_0007_A,3,5,7,A,帮我把电视调到点播模式吧。
3_0005_0008_B,3,5,8,B,好的，已为您做好设置。
3_0005_0009_A,3,5,9,A,把杜比音效开一下吧。
3_0005_0010_B,3,5,10,B,好的，已为您打开杜比音效。
3_0005_0011_A,3,5,11,A,果汁机现在是干净的吗？
3_0005_0012_B,3,5,12,B,是的，今早被清洗过。
3_0005_0013_A,3,5,13,A,冰箱里还有水果吗？
3_0005_0014_B,3,5,14,B,不好意思，好像没有了。
3_0005_0015_A,3,5,15,A,那没喝完的红酒呢，冰箱里还有吗？
3_0005_0016_B,3,5,16,B,还有的，大约剩下三分之一。
3_0005_0017_A,3,5,17,A,洗碗机里的杯子洗干净了吗？
3_0005_0018_B,3,5,18,B,已经洗干净了，可以直接使用。
3_0005_0019_A,3,5,19,A,那帮我搜一下复仇者联盟一吧，我去倒点红酒。
3_0005_0020_B,3,5,20,B,好的，搜索到复仇者联盟一，豆瓣评分为八点二。
3_0006_0001_A,3,6,1,A,小天。
3_0006_0002_B,3,6,2,B,我在。
3_0006_0003_A,3,6,3,A,一般烤箱烤曲奇需要烤多久呢？
3_0006_0004_B,3,6,4,B,建议温度设置为二百度，时间为十五到二十分钟。
3_0006_0005_A,3,6,5,A,那温度就设为二十吧，时间定为十七分钟。
3_0006_0006_B,3,6,6,B,已为您做好烤箱设置。
3_0006_0007_A,3,6,7,A,再把微波炉打开一下吧。
3_0006_0008_B,3,6,8,B,好的，一打开。
3_0006_0009_A,3,6,9,A,时间定两分钟就行。
3_0006_0010_B,3,6,10,B,已为您做好微波炉设置。
3_0007_0001_A,3,7,1,A,小天。
3_0007_0002_B,3,7,2,B,我在。
3_0007_0003_A,3,7,3,A,感觉水温有点凉诶，现在热水器温度是多少？
3_0007_0004_B,3,7,4,B,现在热水器的温度是五十度。
3_0007_0005_A,3,7,5,A,那升到六十五度吧。
3_0007_0006_B,3,7,6,B,热水器温度设置建议范围为五十到六十度嗷，主人还是想升到六十五度吗？
3_0007_0007_A,3,7,7,A,那就六十度吧，也行。
3_0007_0008_B,3,7,8,B,已为您升高温度至六十度。
3_0008_0001_A,3,8,1,A,小天。
3_0008_0002_B,3,8,2,B,我在。
3_0008_0003_A,3,8,3,A,今天我鼻子有点不舒服。
3_0008_0004_B,3,8,4,B,可能是因为春天来了呢主人，空气里可能有花粉，需要我为您打开空气净化器吗？
3_0008_0005_A,3,8,5,A,开吧，再把加湿器也打开。
3_0008_0006_B,3,8,6,B,已为您打开空气净化器和加湿器，模式为有雾加湿。
3_0008_0007_A,3,8,7,A,不不不，改成无雾加湿吧。
3_0008_0008_B,3,8,8,B,已更改为无雾加湿，需要设置时间吗？
3_0008_0009_A,3,8,9,A,加湿器不用，让它一直开着吧，空气净化器开三个小时就够了。
3_0008_0010_B,3,8,10,B,好的，已为您做好相关设置。
3_0009_0001_A,3,9,1,A,小天。
3_0009_0002_B,3,9,2,B,我在。
3_0009_0003_A,3,9,3,A,屋子里感觉还有点闷，现在温度是多少呢？
3_0009_0004_B,3,9,4,B,现在室内温度为二十七摄氏度。
3_0009_0005_A,3,9,5,A,确实有点热，把空调打开吧，开到二十四度。
3_0009_0006_B,3,9,6,B,好的，已为您开启空调制冷模式，温度设定为二十四摄氏度。
3_0009_0007_A,3,9,7,A,就开四个小时吧。
3_0009_0008_B,3,9,8,B,好的，空调将在四小时之后关闭。
3_0009_0009_A,3,9,9,A,那湿度呢，现在屋里湿度怎样呢？
3_0009_0010_B,3,9,10,B,现在室内湿度为适中。
3_0009_0011_A,3,9,11,A,那还行，就先这样吧。
3_0009_0012_B,3,9,12,B,好的，您有事小天随时都在。
3_0010_0001_A,3,10,1,A,小天。
3_0010_0002_B,3,10,2,B,我在。
3_0010_0003_A,3,10,3,A,衣服洗到哪一步了呢?
