FileName,DomainID,ConversationID,UtteranceID,SpeakerID,PlainText
5_0001_0001_A,5,1,1,A,竹园餐厅的评分是多少呀？
5_0001_0002_B,5,1,2,B,满分五分的话，竹园餐厅评分五分，建议你可以去吃吃看。
5_0001_0003_A,5,1,3,A,我在北区，想找个近一点儿的食堂，竹园餐厅也在北区吗？
5_0001_0004_B,5,1,4,B,那有些不巧，竹园餐厅在南区，距离有点远，可以骑车过去
5_0001_0005_A,5,1,5,A,那你帮我推荐一个北区清真的食堂
5_0001_0006_B,5,1,6,B,菊园餐厅在北区，专门设置了清真菜系。
5_0001_0007_A,5,1,7,A,好的，地址在哪儿？
5_0001_0008_B,5,1,8,B,地址在七星北路与双台北路交叉口东一百米。
5_0001_0009_A,5,1,9,A,开放时间是什么时候呢？
5_0001_0010_B,5,1,10,B,早上七点到晚上七点。
5_0001_0011_A,5,1,11,A,好的，周边有什么娱乐场所吗
5_0001_0012_B,5,1,12,B,有很多，比如说体育场，游泳馆，健身场所，乒乓球馆，篮球场，还有羽毛球馆。
5_0001_0013_A,5,1,13,A,我想去游泳馆，是免费的吗？
5_0001_0014_B,5,1,14,B,月票证的话四百元二十小时，本校学生卡一百一十元二十小时，本校教职工卡二百元三十小时。
5_0001_0015_A,5,1,15,A,好的，那有没有免费的娱乐场所？
5_0001_0016_B,5,1,16,B,学校里目前体育场，体育公园，排球馆，篮球场，羽毛球馆，乒乓球馆等都是免费的。
5_0001_0017_A,5,1,17,A,好的，谢谢~
5_0001_0018_B,5,1,18,B,不客气了希望你找到适合自己玩的地方。
5_0002_0001_A,5,2,1,A,硕士生宿舍有空调吗？
5_0002_0002_B,5,2,2,B,有的。
5_0002_0003_A,5,2,3,A,是四人间吗？
5_0002_0004_B,5,2,4,B,基本上都是双人间，只有齐园是同时有双人间和四人间的。
5_0002_0005_A,5,2,5,A,那硕士生宿舍有独立卫浴吗？
5_0002_0006_B,5,2,6,B,没有。
5_0002_0007_A,5,2,7,A,齐园宿舍附近有什么餐厅吗
5_0002_0008_B,5,2,8,B,你可以去竹园餐厅。
5_0002_0009_A,5,2,9,A,我想吃麻辣烫，人均小于十六元。
5_0002_0010_B,5,2,10,B,那你可以去梅园餐厅和棠园餐厅，梅园餐厅人均十六元，棠园餐厅人均十五元。
5_0002_0011_A,5,2,11,A,都有麻辣烫吗？
5_0002_0012_B,5,2,12,B,是的，都有麻辣烫，除此之外，桃园餐厅也有麻辣烫，人均十八元。
5_0002_0013_A,5,2,13,A,那棠园餐厅的地址是什么？
5_0002_0014_B,5,2,14,B,餐厅在中区，地址是兴华道与新元中路交叉口旁。
5_0002_0015_A,5,2,15,A,开放时间呢？
5_0002_0016_B,5,2,16,B,每日七点至十九点。
5_0002_0017_A,5,2,17,A,好的谢谢。
5_0002_0018_B,5,2,18,B,不客气，再见。
5_0003_0001_A,5,3,1,A,马克思学院有什么专业？
5_0003_0002_B,5,3,2,B,主要专业有马克思主义理论，科学技术哲学和中国哲学。
5_0003_0003_A,5,3,3,A,哦，哪个学院有教育学这个专业呢？
5_0003_0004_B,5,3,4,B,你说的一定是教育学院。
5_0003_0005_A,5,3,5,A,地址在哪里？
5_0003_0006_B,5,3,6,B,地址是文法教育马克思学院组团建筑，你可以问一下沿途的同学。
5_0003_0007_A,5,3,7,A,学院有停车位吗？
5_0003_0008_B,5,3,8,B,没有停车位。
5_0003_0009_A,5,3,9,A,院长是谁呢？
5_0003_0010_B,5,3,10,B,现任院长是闫广芬。
5_0003_0011_A,5,3,11,A,有哪些代表性的实验室？
5_0003_0012_B,5,3,12,B,代表性实验室有，职业技术教育研究所，高等教育研究所，现代教育技术研究所等。
5_0003_0013_A,5,3,13,A,哦，周边有什么食堂推荐吗？
5_0003_0014_B,5,3,14,B,你可以去兰园餐厅和竹园餐厅。
5_0003_0015_A,5,3,15,A,兰园餐厅什么时候开？
5_0003_0016_B,5,3,16,B,开放时间是早上六点三十到晚上二十点三十。
5_0003_0017_A,5,3,17,A,有电话吗？
5_0003_0018_B,5,3,18,B,电话是幺三九三九九五六七八零。
